class,is online?,is full?
EMLS 104R,err,err
EMLS 110R,err,err
ENGL 209,err,err
MTHEL 300,err,err
EMLS 104R,err,err
EMLS 110R,err,err
ENGL 209,err,err
MTHEL 300,err,err
ENGL101B,True,False
ENGL101B,True,False
ENGL108D,True,False
ENGL108D,True,False
ENGL108D,True,False
ENGL210F,True,False
ENGL101B,True,False
ENGL101B,True,False
ENGL108D,True,False
ENGL108D,True,False
ENGL108D,True,False
ENGL210F,True,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST227,False,False
COMMST228,False,False
EMLS103R,False,False
ENGL101B,False,False
ENGL101B,False,False
ENGL108B,False,False
ENGL108D,False,False
ENGL108D,False,False
ENGL119,False,False
ENGL119,False,False
ENGL119,False,False
ENGL119,False,False
ENGL119,False,False
ENGL208B,False,False
ENGL208B,False,False
ENGL210E,False,False
ENGL378,False,False
ENGL378,False,False
ENGL378,False,False
ENGL378,False,False
ENGL378,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST225,False,False
COMMST227,False,False
COMMST228,False,False
EMLS103R,False,False
ENGL101B,False,False
ENGL101B,False,False
ENGL108B,False,False
ENGL108D,False,False
ENGL108D,False,False
ENGL119,False,False
ENGL119,False,False
ENGL119,False,False
ENGL119,False,False
ENGL119,False,False
ENGL208B,False,False
ENGL208B,False,False
ENGL210E,False,False
ENGL378,False,False
ENGL378,False,False
ENGL378,False,False
ENGL378,False,False
ENGL378,False,False
